Educational level ID,Educational level,Family ID,Family,Salary,Movement Balance,Admissions,Resignations
1,Analfabeto,0000,Não especificado,2243.657666015625,79,223,144
1,Analfabeto,0101,Oficiais Generais Das Forças Armadas,1533.588809742647,1,10,9
1,Analfabeto,0103,Praças Das Forças Armadas,2035.020004272461,2,4,2
1,Analfabeto,0301,Oficiais Superiores Do Corpo De Bombeiros Militar,1200,-1,0,1
1,Analfabeto,1111,Legisladores,1357.37998046875,3,5,2
1,Analfabeto,1112,Dirigentes Gerais Da Administração Pública,2720.6399953741775,10,15,5
1,Analfabeto,1114,Dirigentes Do Serviço Público,1561.6443411654593,76,119,43
1,Analfabeto,1115,Gestores Públicos,3385.0992290790264,17,22,5
1,Analfabeto,1142,Dirigentes E Administradores De Entidades Patronais E Dos Trabalhadores E De Outros Interesses Sócioeconômicos,6433.56982421875,0,1,1
1,Analfabeto,1143,Dirigentes E Administradores De Entidades Religiosas,2464.800048828125,0,1,1
1,Analfabeto,1144,Dirigentes E Administradores De Organizações Da Sociedade Civil Sem Fins Lucrativos,1230,2,2,0
1,Analfabeto,1210,Diretores Gerais,6438.6875562480855,-12,14,26
1,Analfabeto,1222,"Diretores De Produção E Operações Em Empresa Da Indústria Extrativa, Transformação E De Serviços De Utilidade Pública",15527.09521484375,0,1,1
1,Analfabeto,1223,Diretores De Operações De Obras Em Empresa De Construção,2363.133341471354,3,3,0
1,Analfabeto,1224,Diretores De Operações Em Empresa Do Comércio,11064.5048828125,-2,0,2
1,Analfabeto,1225,"Diretores De Serviços De Turismo, De Alojamento E De Alimentação",6687.025065104167,0,2,2
1,Analfabeto,1226,"Diretores De Operações De Serviços Em Empresa De Armazenamento, De Transporte E De Telecomunicação",17645.15625,0,2,2
1,Analfabeto,1227,Diretores De Operações De Serviços Em Instituição De Intermediação Financeira,102625,0,1,1
1,Analfabeto,1231,Diretores Administrativos E Financeiros,10008.275526032625,2,40,38
1,Analfabeto,1233,Diretores De Comercialização E Marketing,13020.294300752528,-4,8,12
1,Analfabeto,1234,Diretores De Suprimentos E Afins,1700,2,2,0
1,Analfabeto,1236,Diretores De Tecnologia Da Informação,26819.909830729168,-3,0,3
1,Analfabeto,1238,Diretores De Manutenção,1926.5133463541667,-1,1,2
1,Analfabeto,1311,"Diretores E Gerentes De Operações Em Empresa De Serviços Pessoais, Sociais E Culturais",3213.871907043457,1,33,32
1,Analfabeto,1312,"Gestores E Especialistas De Operações Em Empresas, Secretarias E Unidades De Serviços De Saúde",8116.1188167317705,-5,15,20
1,Analfabeto,1313,Diretores E Gerentes De Instituição De Serviços Educacionais,3394.763125213922,-3,25,28
1,Analfabeto,1411,"Gerentes De Produção E Operações Em Empresa Agropecuária, Pesqueira, Aqüícola E Florestal",5719.285136729111,11,116,105
1,Analfabeto,1412,"Gerentes De Produção E Operações Em Empresa Da Indústria Extrativa, De Transformação E De Serviços De Utilidade Pública",3872.8332432988864,26,147,121
1,Analfabeto,1413,Gerentes De Obras Em Empresa De Construção,4568.822068647904,0,22,22
1,Analfabeto,1414,Gerentes De Operações Comerciais E De Assistência Técnica,2214.2161934308165,-30,338,368
1,Analfabeto,1415,"Gerentes De Operações De Serviços Em Empresa De Turismo, De Alojamento E Alimentação",2608.524023709005,30,161,131
1,Analfabeto,1416,"Gerentes De Operações De Serviços Em Empresa De Transporte, De Comunicação E De Logística (Armazenagem E Distribuição)",5309.961022186596,0,59,59
1,Analfabeto,1417,Gerentes De Operações De Serviços Em Instituição De Intermediação Financeira,8829.530322265626,-5,3,8
1,Analfabeto,1418,Gerentes Operacionais Da Aviação Civil,12500,-1,1,2
1,Analfabeto,1421,"Gerentes Administrativos, Financeiros, De Riscos E Afins",6492.887479284463,2,405,403
1,Analfabeto,1422,Gerentes De Recursos Humanos E De Relações Do Trabalho,6173.995649852707,-7,43,50
